tissue_type,common,malignant,major_type,subtype,pannuke_label,hne_type,hne_label,markers,rank_source,low_support
bladder,True,True,Malignant epithelial cells,Basal-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"KRT14,KRT5,KRT17,DST,CDH3,TP63,LAMC2,LAMB3,SFRP1,MIA,DSG3",census,False
bladder,True,True,Malignant epithelial cells,Luminal-papillary tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"KRT20,UPK1A,UPK1B,UPK2,UPK3A,GATA3,FOXA1,ERBB2,ERBB3,ERBB4,FGFR3,PPARG,SCNN1A,SCNN1B,SCNN1G,CDH1,GRHL2,CLDN3,CLDN4,CLDN7,CLDN8,CLDN12,XBP1,ANKRD30A,TPM1,CRABP2,MSLN,FOLR1,EMP2,KLF5,ELF3,TJP3,TJP1,TSPAN1,MUC1,MUC3A,MUC4,MUC13,PROM1,TMEM45B,AGR2,AGR3,KRT7,KRT8,KRT18,KRT19,RAB25,SPINT1,S100P,CEACAM5,CEACAM6,CEACAM7,TACSTD2,ACSL5,CD24,CD74,PGK1,FASN,FABP4,CEBPA,ESRP2,EPCAM,KRT23,DDR1,BCL2,ITGB4,EHF,SPDEF,MSMB,SCEL,BPIFB1,CDH3,CEACAM1,LYPD3,GPRC5A,FOXA3,MUC17,RAB11FIP3,AQP3",skipped,False
bladder,True,True,Malignant epithelial cells,Luminal-infiltrated tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"KRT20,UPK1A,UPK2,GATA3,FOXA1,CXCL9,CXCL10,CXCL11,CXCL13,CXCL16,CCL5,CCL4,CCL3,STAT1,STAT2,IDO1,IRF1,IRF7,IRF9,HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-A,HLA-B,HLA-C,CIITA,B2M,TAP1,TAP2,IFI30,ISG15,MX1,OAS1,OAS2,OASL,GBP1,GBP2,GBP4,PDL1,PSMB9,PSMB8,PSMB10,NLRC5,ICAM1,IFI16,NFKB2,NFKBIA,TNFSF10,CASP1,GBP5,IL6,IL32,TNFAIP3,RFX5,CCR5,CD274,CD40,LY6E,CD58,CD74,SOCS1,TRIM22,TRIM25,TRIM21,APOL6,IFI44,IFI44L,IFIT1,IFIT2,IFIT3,TAGAP,BST2,ISG20,HLAE,IFI27,PARP14",skipped,False
bladder,True,True,Malignant epithelial cells,Luminal-unstable tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"MKI67,TOP2A,PCNA,BIRC5,AURKA,UBE2C,CCNB1,CCNB2,CDK1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,RRM2,TYMS,CENPF,CENPA,NEK2,TPX2,KIF11,KIF23,KIF20A,KIF2C,KIF4A,KIF14,CDC20,CDC25C,CDC25A,CENPE,PLK1,EXO1,RFC4,RAD51,E2F1,CDCA3,CDCA8,CHEK1,CHEK2,GMNN,STMN1,FOXM1,TK1,HMMR,CDKN3,DLGAP5,GTSE1,BUB1,BUB1B,BUB3,SKA1,SKA3,TP53BP1,FANCI,NUSAP1,PRC1,TUBB,ASF1B,ASF1A,MELK,CDC45,ORC1,ORC6,NCAPG,NCAPH,KNL1,SGOL1,CKS1B,CKS2,HELLS,CDT1,CDC6,KIF18B,HJURP,CENPW,PSRC1,CDCA7L",skipped,False
bladder,True,True,Malignant epithelial cells,EMT-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"VIM,ZEB1,ZEB2,SNAI1,SNAI2,TWIST1,TWIST2,FN1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL12A1,COL14A1,MMP2,MMP9,MMP14,MMP3,MMP1,SPARC,ITGA5,ITGA2,ITGA11,ITGB1,ITGB3,TGFBI,SERPINE1,CDH2,PDPN,LOX,LOXL1,LOXL2,LOXL4,PDGFRB,PDGFRA,TGFB1,TGFB2,ACTA2,S100A4,FAP,THBS1,THBS2,GREM1,CXCL12,CXCL14,POSTN,FBN1,GAS1,WNT5A,IL6,IL11,IL32,PLAU,LUM,CAV1,TAGLN,MSLN,CDH11,NID2,SPP1,GDF15,EGR1,YAP1,TEAD1,TNC,DCN,BGN,COL16A1,VEGFA,ANGPTL2,ANGPTL4,LAMA4,COL22A1,ITGA9,MRC2,BMP1",skipped,False
bladder,False,True,Malignant epithelial cells,Neuroendocrine-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"BIRC5,TPX2,AURKA,ONECUT2,ASCL1,CGA,PCSK2,SYT4,CHGB,NXPH1,SOX2,INSM1,GABRA5,ELAVL3,CPLX2,SLC18A1,FOXA2,NKX2-1,PHOX2B",census,False
bladder,False,True,Malignant epithelial cells,Cancer stem-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"ALDH1A1,ALDH1A3,CD44,CD24,SOX2,SOX4,SOX9,SOX10,PROM1,KLF4,BMI1,NANOG,OCT4,POU5F1,HMGA2,HMGA1,CD133,ITGA6,ITGB1,ITGA7,ITGB4,ITGB8,LGR5,NOTCH1,NOTCH3,DLL4,JAG1,JAG2,HES1,AXL,TGFB1,TGFB2,ZEB1,ZEB2,KLF5,YAP1,CTNNB1,FGF2,FGF10,FGFR1,FGFR2,FZD7,FZD8,WNT5A,WNT3A,CXCR4,SALL4,MSI1,MSI2,GPC3,EPCAM,FUT4,SSEA4,THY1,L1CAM,GATA6,MYC,TSPAN8,PLAU,MUC1,ABCB1,VIM,SPARC,PDGFRA,COL1A1,MMP14,ALCAM,EZH2,STAT3,STAT5A,STAT5B,PRRX1,PRRX2,RHOA,RAC1,TERT,LIN28A,LIN28B,CD47,SOX17,SOX21,PROM2,LGR4,FZD5,TNFRSF8",skipped,False
bladder,False,True,Malignant epithelial cells,Mucinous-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"MUC2,MUC5AC,MUC5B,MUC6,MUC1,MUC4,MUC13,MUC16,MUC20,MUC21,MUC22,TFF1,TFF2,TFF3,SPINK4,SPINK1,REG4,REG1A,REG1B,REG3A,REG3B,LGALS3,LGALS4,LGALS2,LGALS3BP,AGR2,AGR3,CLCA1,CLCA4,B4GALNT2,GALNT4,GALNT7,GALNT3,GALNT1,FUT2,FUT3,FUT6,SLC26A3,SLC26A4,SLC26A9,SLC34A2,SLC12A2,FCGBP,ZG16,ITLN1,ITLN2,ALDH1A2,B3GNT7,ST6GALNAC1,LYPD8,SLPI,AQP5,RETNLB,DMBT1,CXCL17,ERN2,CXCL8,CXCL1,CXCL2,IL1B,IL6,IL4,IL5,IL13,IL33,IL22RA1,IL13RA2,IL17RB,IL1RN,PIGR,TGM2,WFDC2,TACSTD2,SPDEF,ATOH1,DUOX2,DUOXA2,LYZ,SLC26A2,MUC7,GKN1,GKN2,MS4A12,CLDN18",skipped,False
bladder,False,True,Malignant epithelial cells,Carcinoma in situ (CIS)-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"TP53,CDKN2A,CDKN1A,GADD45A,GADD45B,GADD45G,BTG2,BTG1,DUSP1,DUSP5,DUSP6,JUN,FOS,FOSB,EGR1,EGR2,EGR3,ATF3,ATF4,ATF6,DDIT3,RHOB,IER3,IER2,IER5,IER5L,NR4A1,NR4A2,NR4A3,TRIB3,TRIB1,TRIB2,PLK3,PMAIP1,BAX,BBC3,BCL2L11,CCNG2,FOSL1,FOSL2,ZFP36,CEBPB,SERTAD1,PPP1R15A,PPP1R15B,TP73,RND3,HSP90AA1,DNAJB1,HSPA1A,HSPA1B,HSPA6,HSPB1,HMOX1,HBEGF,IL6,IL8,ICAM1,NFKBIA,REL,RELB,TXNIP,RPS27L,GDF15,BCL6,SUSD2,HIF1A,PERP,SESN1,SESN2,CCL20,CXCL2,CXCL3,STAT3,DDIT4,IER1,PPP1R15C,ZFP36L1,ATF7",skipped,False
bladder,False,True,Malignant epithelial cells,Squamous-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,"TP63,KRT5,KRT14,KRT6A,KRT6B,KRT6C,KRT16,KRT17,DSG3,IVL,SPRR1A,SPRR1B,SPRR2A,SPRR2B,SPRR2D,SPRR2E,S100A7,S100A8,S100A9,S100A14,S100A16,SOX2,TRIM29,KLF4,GADD45G,CIP2A,EPCAM,CD44,CDH1,CDH3,EGFR,NOTCH1,NOTCH2,NOTCH3,HES1,HEY1,HEY2,JAG1,JAG2,DLL1,DLL3,DLL4,IRF6,GRHL3,ZNF750,TP53,RB1,PTEN,MYC,AURKA",skipped,False
