tissue_type,common,malignant,major_type,subtype,pannuke_label,hne_type,hne_label,pantissue_type,pantissue_label,sthelar_full_type,sthelar_full_label,sthelar_coarse_type,sthelar_coarse_label,sthelar_cancer_normal_type,sthelar_cancer_normal_label,lcp_type,lcp_label,markers,rank_source,low_support,comment
bladder,True,True,Malignant epithelial cells,Basal-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"KRT14,KRT5,KRT17,DST,CDH3,TP63,LAMC2,LAMB3,SFRP1,MIA,DSG3",skipped,False,"Basal/squamous MIBC subtype; KRT5/14/17, TP63, CDH3, laminins. Shared basal template (same lead genes as breast basal-like)."
bladder,True,True,Malignant epithelial cells,Luminal-papillary tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"CDH1,EHF,ELF3,KLF5,PPARG,CLDN4,CLDN7,TACSTD2,KRT8,KRT19,KRT18,AQP3,AGR2,KRT7,FABP4,TSPAN1,S100P,TMEM45B,GATA3,UPK1B,SPINT1,CD24,RAB25,ACSL5,LYPD3,TJP1,UPK1A,EPCAM,FOXA1,SCNN1A,ERBB3,GRHL2,DDR1,ITGB4,GPRC5A,UPK3A,MUC1,CRABP2,ERBB4,FGFR3,AGR3,CEACAM1,EMP2,TJP3,UPK2,CLDN3,KRT23,ERBB2,ESRP2,FASN",skipped,False,"Luminal-papillary MIBC; PPARG/GATA3/FOXA1 axis, uroplakins, tight junctions (CLDN4/7), TACSTD2."
bladder,True,True,Malignant epithelial cells,Luminal-infiltrated tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"GATA3,UPK1A,FOXA1,OAS1,OASL,UPK2,CD58,MX1,KRT20,TNFSF10,OAS2,CXCL11,CXCL10",skipped,False,Luminal + interferon/immune-infiltrate signature (OAS1/OASL/MX1) on GATA3/FOXA1/uroplakin base.
bladder,True,True,Malignant epithelial cells,Luminal-unstable tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"GMNN,MCM4,MCM3,STMN1,ORC6,CCNB1,MELK,CDC20,CCNB2,RAD51,KNL1,RRM2,SKA3,KIF2C,BIRC5,CDCA3,CDC25A",skipped,False,"Genomically unstable luminal; cell-cycle/replication program (MCM3/4, GMNN, ORC6, CCNB1, CDC20)."
bladder,True,True,Malignant epithelial cells,EMT-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"VIM,ZEB1,ZEB2,SNAI1,SNAI2,TWIST1,TWIST2,FN1,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL12A1,COL14A1,MMP2,MMP9,MMP14,MMP3,MMP1,SPARC,ITGA5,ITGA2,ITGA11,ITGB1,ITGB3,TGFBI,SERPINE1,CDH2,PDPN,LOX,LOXL1,LOXL2,LOXL4,PDGFRB,PDGFRA,TGFB1,TGFB2,ACTA2,S100A4,FAP,THBS1,THBS2,GREM1,CXCL12",skipped,False,"Mesenchymal program - VIM, ZEB1/2, SNAI1/2, TWIST1/2, FN1; loss of epithelial identity."
bladder,False,True,Malignant epithelial cells,Neuroendocrine-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"BIRC5,TPX2,AURKA,ONECUT2,ASCL1,CGA,PCSK2,SYT4,CHGB,NXPH1,SOX2,INSM1,GABRA5,ELAVL3,CPLX2,SLC18A1,FOXA2,NKX2-1,PHOX2B",skipped,False,"NE-divergent bladder; proliferation (BIRC5/TPX2/AURKA) + NE TFs (ASCL1, ONECUT2) + CGA. Shared NE template (matches breast NE-like)."
bladder,False,True,Malignant epithelial cells,Cancer stem-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"ALDH1A1,ALDH1A3,CD44,CD24,SOX2,SOX4,SOX9,SOX10,PROM1,KLF4,BMI1,NANOG,OCT4,POU5F1,HMGA2,HMGA1,CD133,ITGA6,ITGB1,ITGA7,ITGB4,ITGB8,LGR5,NOTCH1,NOTCH3,DLL4,JAG1,JAG2,HES1,AXL,TGFB1,TGFB2,ZEB1,ZEB2,KLF5,YAP1,CTNNB1,FGF2,FGF10,FGFR1,FGFR2,FZD7,FZD8,WNT5A,WNT3A,CXCR4,SALL4,MSI1,MSI2,GPC3",skipped,False,"Stemness - ALDH1A1/A3, CD44, SOX2/4/9/10; broad low-specificity panel (full 50 genes)."
bladder,False,True,Malignant epithelial cells,Mucinous-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"MUC2,MUC5AC,MUC5B,MUC6,MUC1,MUC4,MUC13,MUC16,MUC20,MUC21,MUC22,TFF1,TFF2,TFF3,SPINK4,SPINK1,REG4,REG1A,REG1B,REG3A,REG3B,LGALS3,LGALS4,LGALS2,LGALS3BP,AGR2,AGR3,CLCA1,CLCA4,B4GALNT2,GALNT4,GALNT7,GALNT3,GALNT1,FUT2,FUT3,FUT6,SLC26A3,SLC26A4,SLC26A9,SLC34A2,SLC12A2,FCGBP,ZG16,ITLN1,ITLN2,ALDH1A2,B3GNT7,ST6GALNAC1,LYPD8",skipped,False,Mucin program (MUC2/5AC/5B/6...); rare mucinous bladder variant.
bladder,False,True,Malignant epithelial cells,Carcinoma in situ (CIS)-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"TP53,CDKN2A,CDKN1A,GADD45A,GADD45B,GADD45G,BTG2,BTG1,DUSP1,DUSP5,DUSP6,JUN,FOS,FOSB,EGR1,EGR2,EGR3,ATF3,ATF4,ATF6,DDIT3,RHOB,IER3,IER2,IER5,IER5L,NR4A1,NR4A2,NR4A3,TRIB3,TRIB1,TRIB2,PLK3,PMAIP1,BAX,BBC3,BCL2L11,CCNG2,FOSL1,FOSL2,ZFP36,CEBPB,SERTAD1,PPP1R15A,PPP1R15B,TP73,RND3,HSP90AA1,DNAJB1,HSPA1A",skipped,False,"p53/stress-response program (TP53, CDKN2A, GADD45, BTG); flat high-grade CIS lesion."
bladder,False,True,Malignant epithelial cells,Squamous-like tumor cells,neoplastic,Malignant epithelial cells,malignant_epithelial,Tumor / neoplastic,tumor,Epithelial,Epithelial,Epithelial,Epithelial,Cancer,Cancer,Parenchymal cell,Parenchymal cell,"TP63,KRT5,KRT14,KRT6A,KRT6B,KRT6C,KRT16,KRT17,DSG3,IVL,SPRR1A,SPRR1B,SPRR2A,SPRR2B,SPRR2D,SPRR2E,S100A7,S100A8,S100A9,S100A14,S100A16,SOX2,TRIM29,KLF4,GADD45G,CIP2A,EPCAM,CD44,CDH1,CDH3,EGFR,NOTCH1,NOTCH2,NOTCH3,HES1,HEY1,HEY2,JAG1,JAG2,DLL1,DLL3,DLL4,IRF6,GRHL3,ZNF750,TP53,RB1,PTEN,MYC,AURKA",skipped,False,"Squamous differentiation keratins (TP63, KRT5/6/14/16/17). Shared squamous template (identical to prostate squamous-like)."
